Label,Area,Mean,Perim,Circ,AR,Round,Solidity,type
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1518,119.35244,236.57004,0.34085,5.27818,0.18946,0.77095,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1331,122.70398,295.88346,0.19105,3.91925,0.25515,0.53529,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1522,129.50263,250.33092,0.30521,2.53245,0.39487,0.58392,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",917,121.85605,177.93083,0.36398,2.44039,0.40977,0.70214,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1110,135.67207,199.21575,0.35147,1.99328,0.50169,0.58637,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2190,141.97671,371.63895,0.19926,1.66916,0.5991,0.4201,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1199,135.92911,184.13668,0.44437,2.14225,0.4668,0.78213,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",813,138.06519,145.7116,0.48119,2.51469,0.39766,0.78286,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1162,136.63253,222.2734,0.29556,3.52289,0.28386,0.65854,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1399,138.33024,183.52461,0.52196,2.20526,0.45346,0.78091,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",971,139.6138,250.9063,0.19382,2.46462,0.40574,0.43252,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",686,135.23907,138.65981,0.44837,3.23786,0.30885,0.83761,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1370,143.44526,202.57224,0.41954,2.03907,0.49042,0.72641,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",817,142.2705,133.73272,0.57406,1.71705,0.5824,0.81052,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1554,146.5,284.19993,0.24178,2.47183,0.40456,0.56934,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",534,132.42135,97.61688,0.70421,1.80539,0.5539,0.84294,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1302,136.15361,207.85222,0.37871,4.50095,0.22218,0.7879,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1859,139.37386,332.09872,0.21181,2.91741,0.34277,0.47949,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",741,123.59919,127.45554,0.57321,1.80704,0.55339,0.83634,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2668,139.92091,319.45726,0.32853,2.33164,0.42888,0.67733,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1691,136.77587,207.06233,0.49562,1.34889,0.74135,0.83219,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1175,124.52681,191.0658,0.40447,4.81945,0.20749,0.81996,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1632,136.86703,205.70143,0.48468,1.9667,0.50847,0.74368,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2261,141.3149,460.60889,0.13392,4.81737,0.20758,0.39604,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",686,132.23032,133.39041,0.48449,2.90766,0.34392,0.83455,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1387,145.32733,184.47957,0.51214,2.65693,0.37637,0.8154,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",902,127.30377,148.49317,0.51405,1.54825,0.64589,0.7615,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1635,139.84832,170.82144,0.70411,1.30513,0.76621,0.87762,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1253,128.2498,148.82457,0.71091,1.48775,0.67216,0.88115,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",760,119.89211,155.18065,0.3966,3.0442,0.32849,0.76229,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",2261,146.64396,231.4747,0.53028,1.62418,0.6157,0.79236,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",937,132.05123,151.00415,0.51638,2.86326,0.34925,0.85963,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1280,138.64922,223.12046,0.3231,1.31791,0.75878,0.57788,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1595,141.72539,220.53677,0.41211,1.82826,0.54697,0.67186,GL261
"GL261_Hipoksja_19_48h_większa_konfluencja_po_obrobieniu,jpg",1448,136.77348,219.66557,0.3771,1.70176,0.58763,0.65669,GL261
